Student ID,Incident Description,Incident Place,Action,Date
71777715119,Incident that happened,Halls,1 DETENTION ASSIGNED,11/13/2018
71777715119,Incident that happened,Halls,1 DAY ISS,12/5/2018
71777715119,Incident that happened,Classroom,1 DETENTION ASSIGNED,1/29/2019
71777715119,Incident that happened,Classroom,1 DAY ISS,2/14/2019
71777715119,Incident that happened,Classroom,1 DETENTION ASSIGNED,2/28/2019
71777715119,Incident that happened,Classroom,1 DAY ISS,3/15/2019
71777715119,Incident that happened,Other,PRINCIPAL/STUDENT CONFERENCE,5/9/2019
79515915773,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,9/10/2018
79515915773,Incident that happened,Halls,1 DETENTION ASSIGNED,9/18/2018
79515915773,Incident that happened,Halls,1 DAY ISS,10/4/2018
79515915773,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,10/23/2018
79515915773,Incident that happened,Halls,1 DETENTION ASSIGNED,12/17/2018
79515915773,Incident that happened,Classroom,2 DETENTIONS ASSIGNED,1/18/2019
79515915773,Incident that happened,Classroom,1 DETENTION ASSIGNED,2/25/2019
79515915773,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,4/10/2019
79515915773,Incident that happened,Classroom,1 DETENTION ASSIGNED,4/17/2019
79515915773,Incident that happened,Halls,1 DETENTION ASSIGNED,5/13/2019
79515915773,Incident that happened,Classroom,1 DETENTION ASSIGNED,5/21/2019
79515915773,Incident that happened,Classroom,1 DAY ISS,5/28/2019
75595951393,Incident that happened,Classroom,1/2 DAY ISS,11/27/2018
75595951393,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,11/28/2018
75595951393,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,12/10/2018
73795335557,Incident that happened,Playground,Missed Recess,8/27/2018
73795335557,Incident that happened,Playground,Missed Recess,9/11/2018
73795335557,Incident that happened,Playground,,
73795335557,Incident that happened,Playground,PARENT CONTACT / CONFERENCE,11/8/2018
71551375335,Incident that happened,Classroom,WARNING,9/26/2018
71551375335,Incident that happened,Classroom,1 DETENTION ASSIGNED,10/1/2018
71551375335,Incident that happened,Classroom,2 DETENTIONS ASSIGNED,10/3/2018
71551375335,Incident that happened,Classroom,THURSDAY NIGHT DETENTION,10/4/2018
71551375335,Incident that happened,Classroom,1 DAY ISS,10/8/2018
71551375335,Incident that happened,Classroom,,
71551375335,Incident that happened,Classroom,1 DETENTION ASSIGNED,10/31/2018
71551375335,Incident that happened,Classroom,2 DAYS ISS,12/4/2018
71551375335,Incident that happened,Halls,1 DETENTION ASSIGNED,12/12/2018
